Model,Metin1,Metin2,Metin3,Metin4,Metin5,Ortalama
tfidf_lemmatized,1,1,1,1,1,1.0
word2vec_lemma_win2_dim100_cbow,1,1,1,1,1,1.0
word2vec_stem_win2_dim100_cbow,2,3,2,2,2,2.2
word2vec_lemma_win2_dim300_cbow,1,1,1,1,1,1.0
word2vec_stem_win2_dim300_cbow,2,3,2,2,2,2.2
word2vec_lemma_win5_dim100_cbow,1,1,1,1,1,1.0
word2vec_stem_win5_dim100_cbow,2,3,2,2,3,2.4
word2vec_lemma_win5_dim300_cbow,1,1,1,1,1,1.0
word2vec_stem_win5_dim300_cbow,2,3,2,2,3,2.4
word2vec_lemma_win2_dim100_sg,1,1,1,1,1,1.0
word2vec_stem_win2_dim100_sg,3,2,2,2,3,2.4
word2vec_lemma_win2_dim300_sg,1,1,1,1,1,1.0
word2vec_stem_win2_dim300_sg,3,2,2,2,3,2.4
word2vec_lemma_win5_dim100_sg,1,1,1,1,1,1.0
word2vec_stem_win5_dim100_sg,2,2,3,3,2,2.4
word2vec_lemma_win5_dim300_sg,1,1,1,1,1,1.0
word2vec_stem_win5_dim300_sg,2,3,2,3,2,2.4
